Log,Date-time
Open connection with database,2024-05-22 13:10:36
Author table created,2024-05-22 13:10:36
Close connection with database,2024-05-22 13:10:36
Open connection with database,2024-05-22 13:10:36
ArtisticMovement table created,2024-05-22 13:10:36
Close connection with database,2024-05-22 13:10:36
Open connection with database,2024-05-22 13:10:36
Close connection with database,2024-05-22 13:10:36
All 2 art projects tables have been crated,2024-05-22 13:10:36
configure tables,2024-05-22 13:10:36
Open connection with database,2024-05-22 13:10:37
Added new Author and artistic movement,2024-05-22 13:10:37
Added new painting,2024-05-22 13:10:37
Close connection with database,2024-05-22 13:10:37
