Log,Date-time
Open connection with database,2024-05-22 13:12:31
Author table created,2024-05-22 13:12:31
Close connection with database,2024-05-22 13:12:31
Open connection with database,2024-05-22 13:12:31
ArtisticMovement table created,2024-05-22 13:12:31
Close connection with database,2024-05-22 13:12:31
Open connection with database,2024-05-22 13:12:31
Close connection with database,2024-05-22 13:12:31
All 2 art projects tables have been crated,2024-05-22 13:12:31
configure tables,2024-05-22 13:12:31
Open connection with database,2024-05-22 13:12:32
Added new Author and artistic movement,2024-05-22 13:12:32
Added new sculpture,2024-05-22 13:12:32
Close connection with database,2024-05-22 13:12:32
